mod_reg,mod_num,Depth_fct,cor_mn,cor_sd,bias_mn,bias_sd,per_bias_mn,per_bias_sd,rmse_mn,rmse_sd,mae_mn,mae_sd,mape_mn,mape_sd
AI,3,250,0.6556778789656429,0.20175214482208306,0.03262475673983054,0.13509901954019293,0.0021846754814162767,0.018800405980795073,0.3352218708713303,0.06901274245042066,0.2639188405986603,0.054953418055518476,0.03626401102961781,0.0073327938966430304
AI,3,300,0.6394379171266426,0.18012888906423324,0.006497806516753799,0.08231216902846139,-3.365872974698728e-4,0.011510880983620315,0.252393609405779,0.06612956910032901,0.19808415260357135,0.04965185048991073,0.027702222644230643,0.006514440074953053
AI,3,350,0.5783288972620978,0.13241772513716352,0.02762231255185086,0.07882267045824785,0.003173018981738309,0.011255518330687287,0.21382053460344833,0.04599948874046877,0.1710468694019603,0.031504593320440116,0.02419616214636909,0.004026131962847634
AI,3,400,0.522497955770282,0.12599646817129215,0.0049249773508897995,0.06364601198600181,3.0108422902772286e-4,0.00910104421001905,0.191330266006865,0.03407793180380799,0.1529819596422802,0.033449755713569396,0.021953700759518465,0.004553513973553095
AI,3,500,0.5592890018040639,0.4432110829062227,-0.04002512248312534,0.13036584698127054,-0.006112983581340374,0.01942764062842147,0.14046263479873605,0.07906868119491084,0.12513733845035827,0.0762866497487217,0.01849468481972756,0.011519995394869855
AI,3,600+,0.8781718415014006,0.11955774239815835,-0.07731716412335675,0.14712742496423664,-0.012062812639674864,0.022725595093154197,0.1607363396455991,0.0923014770361001,0.14775380269341445,0.09698612497227634,0.022904946539737004,0.01507377268524286
AI,3,NA,0.7397769432137613,0.06493536657641735,-0.0333892422118539,0.3093961746696046,-0.010330821227733192,0.034421417020638195,0.7189322467917112,0.14346217310343304,0.5458847454457917,0.11458929910548472,0.06279947738465622,0.011195721559282857
AI,4,50,0.5758471736063746,0.09212398241526572,-0.008268330803392152,0.1731066219248418,-0.0068390020150593585,0.020903680210919998,0.6284481324951774,0.06648478014743714,0.4887581177442244,0.05067168942835052,0.06012900070730605,0.00626117537217654
AI,4,60,0.5514211182933746,0.09548069190259514,-0.005524629265912535,0.1531425036205933,-0.006250103590697009,0.018970524620084247,0.6041077621433621,0.0638400479992945,0.47077471697002443,0.049458314438318364,0.05911974383963929,0.006570630749693091
AI,4,70,0.5290361163922804,0.10094139863878887,0.0019912977719913696,0.14996232646240046,-0.005222757712067219,0.019037237492373155,0.5896024758640129,0.0650370628072219,0.4587205153669401,0.05196523222247111,0.05860066591675768,0.007480797243135667
